Species,CommonName,Species.CommonName,Color
Unknown Sparidae (Family),Porgies and seabreams,Sparidae (Porgies and seabreams),#EC4C4D
Unknown Rexea (Genus),Snake mackerels,Rexea (Snake mackerels),#48AA3B
Unknown Syngnathus (Genus),Pipefish,Syngnathus (Pipefish),#F58E56
Unknown Sphyraenidae__o (Order),Barracudas,Sphyraenidae (Barracudas),#D5A7A8
Alosa pseudoharengus,Alewife,Alosa pseudoharengus (Alewife),#969D62
Unknown Squaliformes (Order),Squaliformes,Squaliformes (),#F6965A
Unknown Microstomus (Genus),Microstomus,Microstomus,#5298C5
Unknown Rhinoptera (Genus),Cownose ray,Rhinoptera bonasus (Cownose ray),#F5C710
Unknown Cyprinodontiformes (Order),Cyprinodontiformes,Cyprinodontiformes,#FE850A
Unknown Salmoniformes (Order),Salmoniformes,Salmoniformes,#589E40
Unknown Squalidae (Family),Squalidae,Squalidae,#A79C6B
Unknown Leucoraja (Genus),Hardnose skates,Leucoraja (Hardnose skates),#FE880F
Unknown Rajidae (Family),Skates,Rajidae (Skates),#64A4CC
Unknown Dasyatidae (Family),Whiptail stingrays,Dasyatidae (Whiptail stingrays),#A0CAE0
Unknown Lutjaniformes (Order),Lutjaniformes,Lutjaniformes,#E93B3D
Unknown Lamniformes (Order),Mackerel sharks,Lamniformes (Mackerel sharks),#ADDC86
Unknown Myliobatidae (Family),Eagle rays,Myliobatidae (Eagle rays),#3A89BD
Unknown Spariformes (Order),Spariformes,Spariformes,#9AC6DE
Unknown Tetraodontidae (Family),Tetraodontidae,Tetraodontidae,#3B8CAB
Unknown Myliobatis (Genus),Eagle rays,Myliobatis (Eagle rays),#3A89BD
